nome,sigla,superior.sigla,unidade_organizacional.nome,is_siape,total_servidores
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS PATOS ,CTI-PT ,DG-PT ,CAMPUS PATOS,False,3
CHEFIA DE GABINETE - CAMPUS PATOS,CGAB-PT,DG-PT ,CAMPUS PATOS,False,1
COORDENAÇÃO DE PROTOCOLO - CAMPUS PATOS,PROTOCOLO-PT,DAPF-PT,CAMPUS PATOS,False,0
COORDENAÇÃO DE PROTOCOLO DIÁRIAS E PASSAGENS - CAMPUS PATOS,CPDP-PT ,DAPF-PT,CAMPUS PATOS,False,1
"COORDENAÇÃO DE COMPRAS, PATRIMÔNIO E ALMOXARIFADO  - CAMPUS PATOS ",CCPA-PT ,DAPF-PT,CAMPUS PATOS,False,0
DIRETORIA GERAL - CAMPUS MONTEIRO,DG-MT,CAMPUS-MT,CAMPUS MONTEIRO,False,91
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS MONTEIRO,DDE-MT,DG-MT,CAMPUS MONTEIRO,False,78
COORDENAÇÃO DE CONTROLE ACADÊMICO - CAMPUS MONTEIRO,CCA-MT,DDE-MT,CAMPUS MONTEIRO,False,3
COORDENAÇÃO DO CURSO DE CONSTRUÇÃO DE EDIFÍCIOS - CAMPUS MONTEIRO,CCE-MT,DDE-MT,CAMPUS MONTEIRO,False,5
COORDENACAO DE ESTAGIOS - CAMPUS MONTEIRO,CE-MT,DDE-MT,CAMPUS MONTEIRO,False,2
COORDENAÇÃO DE BIBLIOTECA  E RECURSOS MULTIMEIOS - CAMPUS MONTEIRO,CBRM-MT,DDE-MT,CAMPUS MONTEIRO,False,3
COORDENAÇÃO DE COMUNICAÇÃO INSTITUCIONAL - CAMPUS MONTEIRO,CCI-MT,DG-MT,CAMPUS MONTEIRO,False,1
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS MONTEIRO,CGP-MT,DAPF-MT,CAMPUS MONTEIRO,False,2
COORDENAÇÃO DE COMPRAS - CAMPUS MONTEIRO,CC-MT,DAPF-MT,CAMPUS MONTEIRO,False,1
COORDENAÇÃO DE  PATRIMÔNIO E ALMOXARIFADO  - CAMPUS MONTEIRO,CPA-MT,DAPF-MT,CAMPUS MONTEIRO,False,1
COORDENAÇÃO DE  EXECUÇÃO ORÇAMENTÁRIA E FINANCEIRA  - CAMPUS MONTEIRO,CEOF-MT,DAPF-MT,CAMPUS MONTEIRO,False,2
"COORDENAÇÃO DE MANUTENÇÃO, TRANSPORTE E SEGURANÇA - CAMPUS MONTEIRO",CMTS-MT,DAPF-MT,CAMPUS MONTEIRO,False,1
SETOR DE SAÚDE - CAMPUS MONTEIRO,SSAUDE-MT,DDE-MT,CAMPUS MONTEIRO,False,2
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS MONTEIRO,CTI-MT,DG-MT,CAMPUS MONTEIRO,False,2
COORDENAÇÃO PEDAGÓGICA  - CAMPUS MONTEIRO,COPED-MT,DDE-MT,CAMPUS MONTEIRO,False,3
COORDENAÇÃO DE PROTOCOLO - CAMPUS MONTEIRO,PROTOCOLO-MT,DAPF-MT,CAMPUS MONTEIRO,False,0
CONSELHO DIRETOR - CAMPUS JOÃO PESSOA,CD-JP,CAMPUS-JP,CAMPUS JOÃO PESSOA,False,0
DIREÇÃO GERAL - CAMPUS JOÃO PESSOA,DG-JP,CAMPUS-JP,CAMPUS JOÃO PESSOA,False,636
ASSESORIA JURÍDICA DO CAMPUS JOÃO PESSOA,AJ-JP,DG-JP,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DE EVENTOS - CAMPUS JOÃO PESSOA,C-EVENTOS-JP,DG-JP,CAMPUS JOÃO PESSOA,False,0
"DEPARTAMENTO DE INOVAÇÃO, PÓS-GRADUAÇÃO, PESQUISA, EXTENSÃO E DESAFIOS ACADÊMICOS - CAMPUS JP",DIPPED-JP,DG-JP,CAMPUS JOÃO PESSOA,False,11
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS JOÃO PESSOA,DDE-JP,DG-JP,CAMPUS JOÃO PESSOA,False,518
NUCLEO DE TECNOLOGIA DA INFORMACAO,NTI-JP,DG-JP,CAMPUS JOÃO PESSOA,False,7
UNIDADES ACADÊMICAS	,UA-JP,DDE-JP,CAMPUS JOÃO PESSOA,False,326
UNIDADE ACADÊMICA DE GESTÃO E NEGÓCIOS		,UA5-JP,UA-JP,CAMPUS JOÃO PESSOA,False,51
DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS DO CAMPUS JOÃO PESSOA,DAF-JP,DG-JP,CAMPUS JOÃO PESSOA,False,60
UNIDADE ACADÊMICA 4 - LICENCIATURAS E FORMAÇÃO GERAL -  CAMPUS JOÃO PESSOA,UA4-JP,UA-JP,CAMPUS JOÃO PESSOA,False,128
UNIDADE ACADÊMICA DE CONTROLES E PROCESSOS INDUSTRIAIS			,UA3-JP,UA-JP,CAMPUS JOÃO PESSOA,False,58
UNIDADE ACADÊMICA DE INFORMÁTICA,UA2-JP,UA-JP,CAMPUS JOÃO PESSOA,False,32
"UNIDADE ACADÊMICA DE INFRAESTRUTURA, DESIGN E MEIO AMBIENTE			",UA1-JP,UA-JP,CAMPUS JOÃO PESSOA,False,57
SDDE-JP	SECRETARIA DA DIRETORIA DE DESENVOLVIMENTO DO ENSINO	,SDDE-JP,DDE-JP,CAMPUS JOÃO PESSOA,False,0
DEPARTAMENTO DE ASSISTÊNCIA ESTUDANTIL - CAMPUS JP ,DAEST-JP,DDE-JP,CAMPUS JOÃO PESSOA,False,43
SECRETARIA DO DEPARTAMENTO DE APOIO AO ENSINO - CAMPUS JP,SECDAE-JP,DAEST-JP,CAMPUS JOÃO PESSOA,False,0
SECRETARIA DA UNIDADE ACADÊMICA DE CONTROLES E PROCESSOS INDUSTRIAIS				,SUA3-JP,UA3-JP,CAMPUS JOÃO PESSOA,False,0
SECRETARIA DA UNIDADE ACADÊMICA DA INFORMAÇÃO E COMUNICAÇÃO			,SUA2-JP,UA2-JP,CAMPUS JOÃO PESSOA,False,0
SECRETARIA DA UNIDADE ACADÊMICA DE LICENCIATURAS E FORMAÇÃO GERAL			,SUA4-JP,UA4-JP,CAMPUS JOÃO PESSOA,False,0
SECRETARIA DA UNIDADE ACADÊMICA DE GESTÃO E NEGÓCIOS			,SUA5-JP,UA5-JP,CAMPUS JOÃO PESSOA,False,0
DEPARTAMENTO DE EDUCAÇÃO PROFISSIONAL ,DEP-JP,DDE-JP,CAMPUS JOÃO PESSOA,False,1
CHEFIA DE GABINETE DA DIREÇÃO-GERAL	,CGDG-JP,DG-JP,CAMPUS JOÃO PESSOA,False,15
OUVIDORIA DO CAMPUS JOÃO PESSOA,OUVIDORIA-JP,DG-JP,CAMPUS JOÃO PESSOA,False,0
DES -JP	DEPARTAMENTO DE ENSINO SUPERIOR 	,DES-JP,DDE-JP,CAMPUS JOÃO PESSOA,False,3
COORD. CURSO TÉCNICO SUPORTE DE SISTEMAS - CAMPUS JOÃO PESSOA,CTSS-JP,UA2-JP,CAMPUS JOÃO PESSOA,False,0
